Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Shapes.hls/Input: ( double: 2.0) Optimise: False",6.451602086539452e-3,6.256368264670557e-3,6.943931684012598e-3,1.3908503579951673e-3,9.965643400877081e-5,2.527225962740751e-3
"Shapes.hls/Input: ( double: 2.0) Optimise: True",9.18550024938125e-3,8.895850286002345e-3,9.757440194602198e-3,1.9149997135871318e-3,9.579841178817679e-4,2.9012368522459272e-3
"Shapes.hls/Input: ( double: 4.0) Optimise: False",2.422202120732804e-2,2.3823735818381497e-2,2.486168633412856e-2,2.5475584574314114e-3,1.6994328827813479e-3,3.4205015569255827e-3
"Shapes.hls/Input: ( double: 4.0) Optimise: True",1.777796040486831e-2,1.7397446736808014e-2,1.8417437180991356e-2,2.4360366712687306e-3,1.6268184151197577e-3,3.25517856072915e-3
"Shapes.hls/Input: ( double: 8.0) Optimise: False",9.634769450139544e-2,9.556442032765883e-2,9.72482634634926e-2,4.2969525617263865e-3,3.732107702724373e-3,4.709136181062112e-3
"Shapes.hls/Input: ( double: 8.0) Optimise: True",5.2553057775016e-2,5.1886589631552876e-2,5.3440330132956695e-2,3.959600097306985e-3,3.195338723186502e-3,4.654803885232004e-3
"Shapes.hls/Input: ( double: 16.0) Optimise: False",0.4389271236510231,0.43709364901494524,0.44088540564488893,9.725450874000802e-3,9.027691670186487e-3,1.0543865650045895e-2
"Shapes.hls/Input: ( double: 16.0) Optimise: True",0.20379569302510755,0.20237644921254655,0.20536879549932022,7.645695863948894e-3,6.9455025820765615e-3,8.339888909140794e-3
"Shapes.hls/Input: ( double: 32.0) Optimise: False",1.9619429851622545,1.9571578646750403,1.9667701555342625,2.4643971971529084e-2,2.265369248480804e-2,2.6900129018283363e-2
"Shapes.hls/Input: ( double: 32.0) Optimise: True",0.9014222766013101,0.8976878381819678,0.9053860951514198,1.9621945109013873e-2,1.795651490822732e-2,2.166620888058609e-2
"Shapes.hls/Input: ( double: 64.0) Optimise: False",8.523948981866356,8.504584760770316,8.543843336209768,0.10056736753561853,9.158939719138662e-2,0.11068432348185137
"Shapes.hls/Input: ( double: 64.0) Optimise: True",3.9250141883940652,3.9113890529723117,3.9396383119673684,7.255772757195289e-2,6.591211762314607e-2,7.992246287040909e-2
"Shapes.hls/Input: ( double: 128.0) Optimise: False",39.10921530018758,39.03614140044165,39.18610543738319,0.38546892416502343,0.350214412226683,0.42915543612604057
"Shapes.hls/Input: ( double: 128.0) Optimise: True",17.457421133622642,17.40778882513951,17.51061405669164,0.2631135104711581,0.23878066498744813,0.29284376716504323
